################################################################################
# Portal coupling kappa (middle column) for freezing-in the observed dark      #
# matter abundance via a light dark photon mediator, and the corresponding     #
# direct detection cross section (last column), as a function of the dark      #
# matter mass in GeV (first column)                                            #
################################################################################
################################################################################
#   DM mass mchi [GeV]   ##   Portal coupling kappa  ## DD cross section [cm^2]#
################################################################################
1.000000000000000048e-04	4.128987372920586219e-11	6.428030901780166265e-38
1.018610170155975281e-04	4.091110008318745962e-11	6.508000817963371431e-38
1.037566678745185890e-04	4.053581268895355814e-11	6.588348493283856764e-38
1.056875971184803863e-04	4.016398023981479145e-11	6.669055988358480654e-38
1.076544612842315793e-04	3.979557176320996335e-11	6.750104756990635221e-38
1.096579291267809898e-04	3.943055662087337730e-11	6.831475646661630970e-38
1.116986818467822557e-04	3.906890450922884585e-11	6.913148899965023449e-38
1.137774133221491354e-04	3.871058546002511393e-11	6.995104157035426574e-38
1.158948303439810582e-04	3.835556984122885853e-11	7.077320459025476751e-38
1.180516528568805612e-04	3.800382835819164018e-11	7.159776252686117386e-38
1.202486142037412301e-04	3.765533205510994785e-11	7.242449396107335204e-38
1.224864613750930708e-04	3.731005231679760785e-11	7.325317165678694166e-38
1.247659552630869643e-04	3.696796087079260643e-11	7.408356264330875411e-38
1.270878709202058108e-04	3.662902978982129958e-11	7.491542831121912257e-38
1.294529978227916035e-04	3.629323149464509696e-11	7.574852452234201254e-38
1.318621401394748458e-04	3.596053875731735628e-11	7.658260173450891636e-38
1.343161170046015297e-04	3.563092470487936202e-11	7.741740514183321894e-38
1.368157627967471913e-04	3.530436282352800387e-11	7.825267483123921178e-38
1.393619274224141842e-04	3.498082696328956041e-11	7.908814595602635919e-38
1.419554766050101292e-04	3.466029134323719901e-11	7.992354892728461543e-38
1.445972921792019463e-04	3.434273055729351211e-11	8.075860962401540934e-38
1.472882723907501770e-04	3.402811958066204681e-11	8.159304962285957153e-38
1.500293322019218239e-04	3.371643377693670255e-11	8.242658644837966782e-38
1.528214036025869315e-04	3.340764890594145164e-11	8.325893384489848292e-38
1.556654359271061883e-04	3.310174113235767796e-11	8.408980207095584845e-38
1.585623961771137158e-04	3.279868703520215463e-11	8.491889821751050066e-38
1.615132693503091297e-04	3.249846361822346996e-11	8.574592655108882441e-38
1.645190587753662351e-04	3.220104832129215588e-11	8.657058888316313901e-38
1.675807864530766986e-04	3.190641903286573104e-11	8.739258496713636529e-38
1.706994934038407743e-04	3.161455410361852418e-11	8.821161292440983886e-38
1.738762400216250527e-04	3.132543236133425320e-11	8.902736970112962840e-38
1.771121064345088786e-04	3.103903312716888721e-11	8.983955155733589754e-38
1.804081928719382670e-04	3.075533623340257572e-11	9.064785459038450231e-38
1.837656200388170424e-04	3.047432204281047379e-11	9.145197529467931862e-38
1.871855294965579319e-04	3.019597146979636011e-11	9.225161115993487441e-38
1.906690840512251814e-04	2.992026600344752422e-11	9.304646131040497895e-38
1.942174681489026197e-04	2.964718773268570354e-11	9.383622718774858971e-38
1.978318882784164360e-04	2.937671937370863222e-11	9.462061328047659127e-38
2.015135733815558378e-04	2.910884429993657069e-11	9.539932790323082107e-38
2.052637752709252192e-04	2.884354657470332030e-11	9.617208402949708027e-38
2.090837690555749911e-04	2.858081098695700584e-11	9.693860018175369708e-38
2.129748535745521019e-04	2.832062309026746714e-11	9.769860138351301015e-38
2.169383518385184322e-04	2.806296924547110647e-11	9.845182017823408858e-38
2.209756114795903147e-04	2.780783666732374259e-11	9.919799772068558386e-38
2.250880052095461704e-04	2.755521347557752400e-11	9.993688494702110571e-38
2.292769312865648647e-04	2.730508875094889331e-11	1.006682438306233252e-37
2.335438139906479262e-04	2.705745259650467186e-11	1.013918487316818317e-37
2.378901041078893431e-04	2.681229620506110760e-11	1.021074878495267451e-37
2.423172794237600676e-04	2.656961193326950534e-11	1.028149647879618074e-37
2.468268452255692339e-04	2.632939338315393358e-11	1.035141002452593147e-37
2.514203348142796828e-04	2.609163549197172214e-11	1.042047338421401174e-37
2.560993100258458994e-04	2.585633463139190388e-11	1.048867261029923888e-37
2.608653617622547455e-04	2.562348871713089308e-11	1.055599606078590103e-37
2.657201105324506481e-04	2.539309733035460121e-11	1.062243463353918655e-37
2.706652070033241072e-04	2.516516185235676604e-11	1.068798202201292478e-37
2.757023325609582747e-04	2.493968561425937178e-11	1.075263499511920769e-37
2.808331998823172132e-04	2.471667406376342333e-11	1.081639370439460672e-37
2.860595535175741895e-04	2.449613495131365589e-11	1.087926202214965234e-37
2.913831704832788461e-04	2.427807853844393127e-11	1.094124791492675283e-37
2.968058608665601950e-04	2.406251783155590143e-11	1.100236385736164982e-37
3.023294684405776131e-04	2.384946884497157461e-11	1.106262729247719487e-37
3.079558712914226386e-04	2.363895089781722594e-11	1.112206114557493901e-37
3.136869824566876504e-04	2.343098695017469946e-11	1.118069440028444252e-37
3.195247505759213607e-04	2.322560398501921526e-11	1.123856274704851730e-37
3.254711605531848163e-04	2.302283344380753280e-11	1.129570931645473158e-37
3.315282342319423150e-04	2.282271172526268718e-11	1.135218551248983932e-37
3.376980310825091164e-04	2.262528075902095865e-11	1.140805196414882285e-37
3.439826489022924146e-04	2.243058866850090503e-11	1.146337961809086799e-37
3.503842245290676185e-04	2.223869054080936822e-11	1.151825100049050165e-37
3.569049345675229896e-04	2.204964932597500145e-11	1.157276168328606986e-37
3.635469961293318173e-04	2.186353689365838326e-11	1.162702199924458586e-37
3.703126675869927134e-04	2.168043528325027333e-11	1.168115906244256640e-37
3.772042493416997012e-04	2.150043819368547222e-11	1.173531916706433030e-37
