# Interpolation Table for Omega1, Omegap, and vstar
#T (GeV)                        Omega1(T)                   Omegap(T)                   vstar(T)

9.999999999999999547e-07	5.535624131962768900e-119	5.596178976717430996e-118	9.891792515917384454e-02
1.020960662306047480e-06	1.077728074076713068e-116	1.078275390171808069e-115	9.994924152956807806e-02
1.042360673976401061e-06	2.649633014774795587e-114	2.638268421666311750e-113	1.004307595472528208e-01
1.064209244064724734e-06	4.167719727401524578e-112	4.107499517307451376e-111	1.014661038872999993e-01
1.086515774652537176e-06	5.912088608656730604e-110	5.767223066094088537e-109	1.025118768756200366e-01
1.109289864895222755e-06	7.579388513418995177e-108	7.318260115334969031e-107	1.035681759594312135e-01
1.132541315152812586e-06	8.799955040924716163e-106	8.410136850029661950e-105	1.046350992599327234e-01
1.156280131207375345e-06	9.271788281712133343e-104	8.770738317109182810e-103	1.057127455692703361e-01
1.180516528568805485e-06	8.882779931294191251e-102	8.317115105468718022e-101	1.068012143471903375e-01
1.205260936870841443e-06	7.753261765061621316e-100	7.185559074033514228e-99	1.079006057173702293e-01
1.230524004359261563e-06	6.177326202274484867e-98	5.666698812664954305e-97	1.090110204634184704e-01
1.256316602474121423e-06	4.501015579783476885e-96	4.086907249573587515e-95	1.101325600245294523e-01
1.282649830528059960e-06	3.004768635377558459e-94	2.700543583653087727e-93	1.112653264907851880e-01
1.309535020482667643e-06	1.841121249798598031e-92	1.637870925092586673e-91	1.124094225980916129e-01
1.336983741824945150e-06	1.037262905385255289e-90	9.133653382054698991e-90	1.135649517227369926e-01
1.365007806546013744e-06	5.382437376238478562e-89	4.691312395530421633e-88	1.147320178755632525e-01
1.393619274224143468e-06	2.576831471394596320e-87	2.223117365478980806e-86	1.159107256957351839e-01
1.422830457214351858e-06	1.140061010757270818e-85	9.735691872905722340e-85	1.171011804440979381e-01
1.452653925946781160e-06	4.668836096477875786e-84	3.946490653455134282e-83	1.183034879961094438e-01
1.483102514336102938e-06	1.772623845938717719e-82	1.483146875036093601e-81	1.195177548343335505e-01
1.514189325304352035e-06	6.249234090325559171e-81	5.175602542320961342e-80	1.207440880404841987e-01
1.545927736419478581e-06	2.048803049777284802e-79	1.679586374561725733e-78	1.219825952870035174e-01
1.578331405652116571e-06	6.255819917930937492e-78	5.076400300660442616e-77	1.232333848281636085e-01
1.611414277253019916e-06	1.781611369194618687e-76	1.431052625566636683e-75	1.244965654906768915e-01
1.645190587753660682e-06	4.739226941574876009e-75	3.768102317710234394e-74	1.257722466637998526e-01
1.679674872092653225e-06	1.179169289680508440e-73	9.280373793153865247e-73	1.270605382889191393e-01
1.714881969870540874e-06	2.747987658248455769e-72	2.140818368180692103e-71	1.283615508486013190e-01
1.750827031735723439e-06	6.006299242079736652e-71	4.631795589003174986e-70	1.296753953550953964e-01
1.787525525904235397e-06	1.232890044351180858e-69	9.411217530379915411e-69	1.310021833382710998e-01
1.824993244816150497e-06	2.379725169096948740e-68	1.798162855779968977e-67	1.323420268329768279e-01
1.863246311931559818e-06	4.324767155077801044e-67	3.234800040405950677e-66	1.336950383658046804e-01
1.902301188668945808e-06	7.409164780259622860e-66	5.485778000723897252e-65	1.350613309412433127e-01
1.942174681489024486e-06	1.198043191002967871e-64	8.780667341283594962e-64	1.364410180272053186e-01
